ANO_MES;TIPO_RECEITA;VALR_TOTAL
201312;ICMS;1092548177,74
201312;IPVA;79261109,84
201312;ITCD;15134012,48
201312;"OUTRAS RECEITAS";393148041,08
201312;"OUTROS TRIBUTOS";95840809,76
201312;"TRANSFERÊNCIAS DA UNIÃO";368790427,82
